speaker_id,source_dataset,lang,age_group_raw,gender,region_state,region_district,recording_date,device
S4259559100359106,indicvoices_r_hindi,hi,45-60,Female,Uttar Pradesh,Mirzapur,,
S4259569100343205,indicvoices_r_hindi,hi,18-30,Female,Uttar Pradesh,Sonbhadra,,
S4259569400342942,indicvoices_r_hindi,hi,18-30,Male,Uttar Pradesh,Sonbhadra,,
S4259574100342089,indicvoices_r_hindi,hi,18-30,Male,Uttar Pradesh,Sonbhadra,,
S4259578300372511,indicvoices_r_hindi,hi,30-45,Male,Madhya Pradesh,Bhopal,,
S4259579200331544,indicvoices_r_hindi,hi,60+,Male,Rajasthan,Jaipur,,
S4259583100307281,indicvoices_r_hindi,hi,30-45,Male,Rajasthan,Jodhpur,,
S4259585500341630,indicvoices_r_hindi,hi,18-30,Male,Uttar Pradesh,Sonbhadra,,
S4259585600327252,indicvoices_r_hindi,hi,45-60,Female,Rajasthan,Jodhpur,,
S4259587300375560,indicvoices_r_hindi,hi,60+,Male,Madhya Pradesh,Bhopal,,
S4259588400343717,indicvoices_r_hindi,hi,60+,Male,Uttar Pradesh,Sonbhadra,,
S4259589700390082,indicvoices_r_hindi,hi,18-30,Female,Rajasthan,Jaipur,,
S4259601800341381,indicvoices_r_hindi,hi,30-45,Male,Rajasthan,Jodhpur,,
S4259614900359616,indicvoices_r_hindi,hi,30-45,Female,Uttar Pradesh,Sonbhadra,,
S4259618000339754,indicvoices_r_hindi,hi,18-30,Female,Uttar Pradesh,Sonbhadra,,
S4259623300342847,indicvoices_r_hindi,hi,60+,Male,Rajasthan,Jodhpur,,
S4259623400339666,indicvoices_r_hindi,hi,30-45,Male,Uttar Pradesh,Bhadohi,,
S4259635100339047,indicvoices_r_hindi,hi,18-30,Female,Uttar Pradesh,Sonbhadra,,
S4259648000340607,indicvoices_r_hindi,hi,60+,Male,Rajasthan,Jaipur,,
S4259648000364540,indicvoices_r_hindi,hi,45-60,Female,Rajasthan,Jodhpur,,
S4259650100367503,indicvoices_r_hindi,hi,18-30,Female,Madhya Pradesh,Bhopal,,
S4259651500316354,indicvoices_r_hindi,hi,60+,Female,Rajasthan,Jodhpur,,
S4259658700359365,indicvoices_r_hindi,hi,30-45,Female,Uttar Pradesh,Mirzapur,,
S4259659200341909,indicvoices_r_hindi,hi,30-45,Female,Rajasthan,Jodhpur,,
S4259664400340300,indicvoices_r_hindi,hi,60+,Male,Rajasthan,Jaipur,,
S4259671000340700,indicvoices_r_hindi,hi,18-30,Female,Rajasthan,Jodhpur,,
S4259676400341957,indicvoices_r_hindi,hi,30-45,Male,Rajasthan,Jaipur,,
S4259676800340513,indicvoices_r_hindi,hi,60+,Male,Rajasthan,Karauli,,
S4259682400341490,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Jodhpur,,
S4259684200360211,indicvoices_r_hindi,hi,60+,Female,Rajasthan,Jaipur,,
S4259687800342800,indicvoices_r_hindi,hi,45-60,Female,Rajasthan,Jodhpur,,
S4259707400370759,indicvoices_r_hindi,hi,18-30,Male,Madhya Pradesh,Bhopal,,
S4259723800397320,indicvoices_r_hindi,hi,18-30,Female,Madhya Pradesh,Jabalpur,,
S4259730800372950,indicvoices_r_hindi,hi,30-45,Female,Rajasthan,Jaipur,,
S4259740300370038,indicvoices_r_hindi,hi,45-60,Male,Madhya Pradesh,Bhopal,,
S4259751200319357,indicvoices_r_hindi,hi,30-45,Female,Madhya Pradesh,Bhopal,,
S4259758700372414,indicvoices_r_hindi,hi,30-45,Male,Rajasthan,Karauli,,
S4259761400362418,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Jaipur,,
S4259764300309912,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Jaipur,,
S4259774300377052,indicvoices_r_hindi,hi,45-60,Female,Rajasthan,Jodhpur,,
S4259784700381800,indicvoices_r_hindi,hi,45-60,Female,Bihar,Darbhanga,,
S4259809100358231,indicvoices_r_hindi,hi,18-30,Female,Rajasthan,Jaipur,,
S4259813000352126,indicvoices_r_hindi,hi,30-45,Male,Bihar,Darbhanga,,
S4259822000392020,indicvoices_r_hindi,hi,45-60,Male,Rajasthan,Jaipur,,
S4259826800392971,indicvoices_r_hindi,hi,30-45,Male,Rajasthan,Jaipur,,
S4259833300374281,indicvoices_r_hindi,hi,60+,Male,Rajasthan,Jodhpur,,
S4259836600374183,indicvoices_r_hindi,hi,45-60,Female,Rajasthan,Jaipur,,
S4259840800393099,indicvoices_r_hindi,hi,60+,Male,Rajasthan,Jodhpur,,
S4259849200360766,indicvoices_r_hindi,hi,45-60,Male,Rajasthan,Karauli,,
S4259849300394038,indicvoices_r_hindi,hi,30-45,Female,Uttar Pradesh,Mirzapur,,
S4259857900387544,indicvoices_r_hindi,hi,30-45,Male,Rajasthan,Karauli,,
S4259864900373713,indicvoices_r_hindi,hi,45-60,Male,Rajasthan,Karauli,,
S4259868600365310,indicvoices_r_hindi,hi,18-30,Female,Madhya Pradesh,Katni,,
S4259881700373724,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Jodhpur,,
S4259888700374461,indicvoices_r_hindi,hi,18-30,Male,Rajasthan,Jodhpur,,
S4259898000375946,indicvoices_r_hindi,hi,45-60,Male,Rajasthan,Jodhpur,,
S4259900000308376,indicvoices_r_hindi,hi,18-30,Female,Uttar Pradesh,Sonbhadra,,
S4259901200364825,indicvoices_r_hindi,hi,30-45,Male,Rajasthan,Jaipur,,
S4259904400364246,indicvoices_r_hindi,hi,30-45,Female,Rajasthan,Jaipur,,
S4259913100364858,indicvoices_r_hindi,hi,30-45,Female,Rajasthan,Jaipur,,
S4259913200339393,indicvoices_r_hindi,hi,18-30,Male,Madhya Pradesh,Bhopal,,
S4259922000364800,indicvoices_r_hindi,hi,30-45,Male,Rajasthan,Jodhpur,,
S4259922900308772,indicvoices_r_hindi,hi,45-60,Female,Madhya Pradesh,Bhopal,,
S4259927200383185,indicvoices_r_hindi,hi,60+,Male,Madhya Pradesh,Balaghat,,
S4259948800308918,indicvoices_r_hindi,hi,60+,Male,Madhya Pradesh,Bhopal,,
S4259948800364592,indicvoices_r_hindi,hi,30-45,Male,Rajasthan,Karauli,,
S4259955600374303,indicvoices_r_hindi,hi,30-45,Female,Uttar Pradesh,Mirzapur,,
S4259958900361673,indicvoices_r_hindi,hi,45-60,Female,Madhya Pradesh,Bhopal,,
S4259963400324564,indicvoices_r_hindi,hi,45-60,Female,Madhya Pradesh,Bhopal,,
S4259975400393291,indicvoices_r_hindi,hi,30-45,Female,Madhya Pradesh,Bhopal,,
S4259976100308005,indicvoices_r_hindi,hi,18-30,Male,Madhya Pradesh,Bhopal,,
S4259990300363651,indicvoices_r_hindi,hi,60+,Male,Bihar,Darbhanga,,
S4259997000364765,indicvoices_r_hindi,hi,18-30,Female,Rajasthan,Jaipur,,
